player_name,player_slug,cap_hit,team
"Granlund, Mikael",mikael-granlund,7000000.0,ANA
"Terry, Troy",troy-terry,7000000.0,ANA
"McTavish, Mason",mason-mctavish,7000000.0,ANA
"Kreider, Chris",chris-kreider,6500000.0,ANA
"Killorn, Alex",alex-killorn,6250000.0,ANA
"Strome, Ryan",ryan-strome,5000000.0,ANA
"Vatrano, Frank",frank-vatrano,4571189.0,ANA
"Poehling, Ryan",ryan-poehling,1900000.0,ANA
"Johnston, Ross",ross-johnston,1100000.0,ANA
"Gauthier, Cutter",cutter-gauthier,950000.0,ANA
"Carlsson, Leo",leo-carlsson,950000.0,ANA
"Colangelo, Sam",sam-colangelo,850000.0,ANA
"Harkins, Jansen",jansen-harkins,787500.0,ANA
"Trouba, Jacob",jacob-trouba,8000000.0,ANA
"Gudas, Radko",radko-gudas,4000000.0,ANA
"Helleson, Drew",drew-helleson,1100000.0,ANA
"LaCombe, Jackson",jackson-lacombe,925000.0,ANA
"Moore, Ian",ian-moore,925000.0,ANA
"Mintyukov, Pavel",pavel-mintyukov,918333.0,ANA
"Zellweger, Olen",olen-zellweger,844167.0,ANA
"Dostal, Lukas",lukas-dostal,6500000.0,ANA
"Mrazek, Petr",petr-mrazek,4250000.0,ANA
"Husso, Ville",ville-husso,2200000.0,ANA
"Fowler, Cam",cam-fowler,2500000.0,ANA
"Sennecke, Beckett",beckett-sennecke,942500.0,ANA
"Myatovic, Nico",nico-myatovic,896667.0,ANA
"Gaucher, Nathan",nathan-gaucher,886666.0,ANA
"Pettersson, Lucas",lucas-pettersson,869050.0,ANA
"Sidorov, Yegor",yegor-sidorov,865000.0,ANA
"Pitre, Coulson",coulson-pitre,858334.0,ANA
"Wiebe, Jaxsen",jaxsen-wiebe,852500.0,ANA
"Pastujov, Sasha",sasha-pastujov,825000.0,ANA
"Washe, Tim",timmy-washe,812500.0,ANA
"Nesterenko, Nikita",nikita-nesterenko,787500.0,ANA
"Mysak, Jan",jan-mysak,775000.0,ANA
"Caulfield, Judd",judd-caulfield,0.0,ANA
"Solberg, Stian",stian-solberg,942500.0,ANA
"Luneau, Tristan",tristan-luneau,865000.0,ANA
"Warren, Noah",noah-warren,865000.0,ANA
"Smith, Konnor",konnor-smith,855000.0,ANA
"Hinds, Tyson",tyson-hinds,829444.0,ANA
"Biakabutuka, Jérémie",jeremie-biakabutuka,825000.0,ANA
"Suchanek, Tomas",tomas-suchanek,870000.0,ANA
"Buteyets, Vyacheslav",vyacheslav-buteyets,852500.0,ANA
"Clara, Damian",damian-clara,846666.0,ANA
"Clang, Calle",calle-clang,775000.0,ANA
"Pastrnak, David",david-pastrnak,11250000.0,BOS
"Lindholm, Elias",elias-lindholm,7750000.0,BOS
"Mittelstadt, Casey",casey-mittelstadt,5750000.0,BOS
"Geekie, Morgan",morgan-geekie,5500000.0,BOS
"Zacha, Pavel",pavel-zacha,4750000.0,BOS
"Arvidsson, Viktor",viktor-arvidsson,4000000.0,BOS
"Jeannot, Tanner",tanner-jeannot,3400000.0,BOS
"Kuraly, Sean",sean-kuraly,1850000.0,BOS
"Kastelic, Mark",mark-kastelic,1566667.0,BOS
"Eyssimont, Michael",michael-eyssimont,1450000.0,BOS
"Khusnutdinov, Marat",marat-khusnutdinov,925000.0,BOS
"Beecher, John",john-beecher,900000.0,BOS
"Poitras, Matthew",matthew-poitras,870000.0,BOS
"Minten, Fraser",fraser-minten,816666.0,BOS
"McAvoy, Charlie",charlie-mcavoy,9500000.0,BOS
"Lindholm, Hampus",hampus-lindholm,6500000.0,BOS
"Zadorov, Nikita",nikita-zadorov,5000000.0,BOS
"Lohrei, Mason",mason-lohrei,3200000.0,BOS
"Jokiharju, Henri",henri-jokiharju,3000000.0,BOS
"Peeke, Andrew",andrew-peeke,2750000.0,BOS
"Harris, Jordan",jordan-harris,825000.0,BOS
"Swayman, Jeremy",jeremy-swayman,8250000.0,BOS
"Korpisalo, Joonas",joonas-korpisalo,3000000.0,BOS
"Carlo, Brandon",brandon-carlo,615000.0,BOS
"Bancroft, Dalton",dalton-bancroft,950000.0,BOS
