"player_id","full_name","team","player_name","cap_hit","match_type","distance","status"
8470613,"Brent Burns","COL","Burns, Brent",1e+06,"exact",0,"matched"
8471214,"Alex Ovechkin","WSH","Ovechkin, Alex",9500000,"exact",0,"matched"
8471215,"Evgeni Malkin","PIT","Malkin, Evgeni",6100000,"exact",0,"matched"
8471675,"Sidney Crosby","PIT","Crosby, Sidney",8700000,"exact",0,"matched"
8471685,"Anze Kopitar","LAK","Kopitar, Anze",7e+06,"exact",0,"matched"
8471724,"Kris Letang","PIT","Letang, Kris",6100000,"exact",0,"matched"
8471817,"Ryan Reaves","SJS","Reaves, Ryan",1350000,"exact",0,"matched"
8473419,"Brad Marchand","FLA","Marchand, Brad",5250000,"exact",0,"matched"
8473422,"Nick Foligno","CHI","Foligno, Nick",4500000,"exact",0,"matched"
8473507,"Jeff Petry","FLA","Petry, Jeff",775000,"exact",0,"matched"
8473512,"Claude Giroux","OTT","Giroux, Claude",2e+06,"exact",0,"matched"
8473533,"Jordan Staal","CAR","Staal, Jordan",2900000,"exact",0,"matched"
8473986,"Alex Killorn","ANA","Killorn, Alex",6250000,"exact",0,"matched"
8473994,"Jamie Benn","DAL","Benn, Jamie",1e+06,"exact",0,"matched"
8474013,"Ian Cole","UTA","Cole, Ian",2800000,"exact",0,"matched"
8474037,"James van Riemsdyk","DET","van Riemsdyk, James",1e+06,"exact",0,"matched"
8474102,"David Perron","OTT","Perron, David",4e+06,"exact",0,"matched"
8474141,"Patrick Kane","DET","Kane, Patrick",3e+06,"exact",0,"matched"
8474149,"Evgenii Dadonov","NJD","Dadonov, Evgenii",1e+06,"exact",0,"matched"
8474150,"Mikael Backlund","CGY","Backlund, Mikael",4500000,"exact",0,"matched"
8474151,"Ryan McDonagh","TBL","McDonagh, Ryan",6750000,"exact",0,"matched"
8474189,"Lars Eller","OTT","Eller, Lars",1250000,"exact",0,"matched"
8474563,"Drew Doughty","LAK","Doughty, Drew",1.1e+07,"exact",0,"matched"
8474564,"Steven Stamkos","NSH","Stamkos, Steven",8e+06,"exact",0,"matched"
