player_name,position,jersey_number,line,pp_unit,team,source
Chris Kreider,F,20,1,PP1,ANA,dailyfaceoff
Leo Carlsson,F,91,1,PP1,ANA,dailyfaceoff
Troy Terry,F,19,1,PP1,ANA,dailyfaceoff
Cutter Gauthier,F,61,2,PP2,ANA,dailyfaceoff
Mason McTavish,F,23,2,PP2,ANA,dailyfaceoff
Mikael Granlund,F,64,2,PP1,ANA,dailyfaceoff
Frank Vatrano,F,77,3,PP2,ANA,dailyfaceoff
Ryan Strome,F,16,3,PP2,ANA,dailyfaceoff
Alex Killorn,F,17,3,,ANA,dailyfaceoff
Nikita Nesterenko,F,13,4,,ANA,dailyfaceoff
Ryan Poehling,F,25,4,,ANA,dailyfaceoff
Sam Colangelo,F,12,4,,ANA,dailyfaceoff
Jackson Lacombe,D,2,1,PP1,ANA,dailyfaceoff
Radko Gudas,D,7,1,,ANA,dailyfaceoff
Olen Zellweger,D,51,2,PP2,ANA,dailyfaceoff
Jacob Trouba,D,65,2,,ANA,dailyfaceoff
Pavel Mintyukov,D,98,3,,ANA,dailyfaceoff
Drew Helleson,D,14,3,,ANA,dailyfaceoff
Morgan Geekie,F,39,1,PP1,BOS,dailyfaceoff
Elias Lindholm,F,28,1,PP1,BOS,dailyfaceoff
David Pastrnak,F,88,1,PP1,BOS,dailyfaceoff
Pavel Zacha,F,18,2,PP1,BOS,dailyfaceoff
Casey Mittelstadt,F,11,2,PP2,BOS,dailyfaceoff
Viktor Arvidsson,F,71,2,PP2,BOS,dailyfaceoff
Tanner Jeannot,F,84,3,,BOS,dailyfaceoff
Fraser Minten,F,,3,,BOS,dailyfaceoff
Marat Khusnutdinov,F,92,3,PP2,BOS,dailyfaceoff
Michael Eyssimont,F,81,4,,BOS,dailyfaceoff
Sean Kuraly,F,52,4,,BOS,dailyfaceoff
Mark Kastelic,F,47,4,,BOS,dailyfaceoff
Mason Lohrei,D,6,1,PP2,BOS,dailyfaceoff
Charlie McAvoy,D,73,1,PP1,BOS,dailyfaceoff
Hampus Lindholm,D,27,2,PP2,BOS,dailyfaceoff
Andrew Peeke,D,26,2,,BOS,dailyfaceoff
Nikita Zadorov,D,91,3,,BOS,dailyfaceoff
Henri Jokiharju,D,20,3,,BOS,dailyfaceoff
Zach Benson,F,6,1,,BUF,dailyfaceoff
Josh Norris,F,9,1,PP1,BUF,dailyfaceoff
Tage Thompson,F,72,1,PP1,BUF,dailyfaceoff
Jason Zucker,F,17,2,PP1,BUF,dailyfaceoff
Ryan McLeod,F,71,2,,BUF,dailyfaceoff
Alex Tuch,F,89,2,PP1,BUF,dailyfaceoff
Jack Quinn,F,22,3,PP2,BUF,dailyfaceoff
Jiri Kulich,F,20,3,PP2,BUF,dailyfaceoff
Josh Doan,F,91,3,PP2,BUF,dailyfaceoff
Beck Malenstyn,F,29,4,,BUF,dailyfaceoff
Peyton Krebs,F,19,4,,BUF,dailyfaceoff
Justin Danforth,F,15,4,,BUF,dailyfaceoff
Bowen Byram,D,4,1,PP2,BUF,dailyfaceoff
Rasmus Dahlin,D,26,1,PP1,BUF,dailyfaceoff
Owen Power,D,25,2,PP2,BUF,dailyfaceoff
Michael Kesselring,D,8,2,,BUF,dailyfaceoff
Ryan Johnson,D,33,3,,BUF,dailyfaceoff
Conor Timmins,D,21,3,,BUF,dailyfaceoff
Joel Farabee,F,86,1,,CGY,dailyfaceoff
Nazem Kadri,F,91,1,PP1,CGY,dailyfaceoff
Yegor Sharangovich,F,17,1,PP2,CGY,dailyfaceoff
Jonathan Huberdeau,F,10,2,PP1,CGY,dailyfaceoff
Morgan Frost,F,16,2,PP1,CGY,dailyfaceoff
Matt Coronato,F,27,2,PP1,CGY,dailyfaceoff
Connor Zary,F,47,3,PP2,CGY,dailyfaceoff
Mikael Backlund,F,11,3,PP2,CGY,dailyfaceoff
Blake Coleman,F,20,3,,CGY,dailyfaceoff
Ryan Lomberg,F,70,4,,CGY,dailyfaceoff
Martin Pospisil,F,76,4,,CGY,dailyfaceoff
Adam Klapka,F,43,4,,CGY,dailyfaceoff
Kevin Bahl,D,7,1,,CGY,dailyfaceoff
Rasmus Andersson,D,4,1,PP2,CGY,dailyfaceoff
Joel Hanley,D,44,2,,CGY,dailyfaceoff
MacKenzie Weegar,D,52,2,PP1,CGY,dailyfaceoff
Zayne Parekh,D,89,3,PP2,CGY,dailyfaceoff
Brayden Pachal,D,94,3,,CGY,dailyfaceoff
Nikolaj Ehlers,F,27,1,PP1,CAR,dailyfaceoff
Sebastian Aho,F,20,1,PP1,CAR,dailyfaceoff
Seth Jarvis,F,24,1,PP1,CAR,dailyfaceoff
Andrei Svechnikov,F,37,2,PP1,CAR,dailyfaceoff
Logan Stankoven,F,22,2,PP2,CAR,dailyfaceoff
Jackson Blake,F,53,2,PP2,CAR,dailyfaceoff
Jordan Martinook,F,48,3,,CAR,dailyfaceoff
Jordan Staal,F,11,3,,CAR,dailyfaceoff
William Carrier,F,28,3,,CAR,dailyfaceoff
Taylor Hall,F,71,4,PP2,CAR,dailyfaceoff
Mark Jankowski,F,77,4,,CAR,dailyfaceoff
Eric Robinson,F,50,4,,CAR,dailyfaceoff
Jaccob Slavin,D,74,1,,CAR,dailyfaceoff
Sean Walker,D,26,1,PP2,CAR,dailyfaceoff
K'Andre Miller,D,19,2,,CAR,dailyfaceoff
Shayne Gostisbehere,D,4,2,PP1,CAR,dailyfaceoff
Alexander Nikishin,D,21,3,PP2,CAR,dailyfaceoff
Jalen Chatfield,D,5,3,,CAR,dailyfaceoff
Ryan Donato,F,8,1,PP2,CHI,dailyfaceoff
Connor Bedard,F,98,1,PP1,CHI,dailyfaceoff
Andre Burakovsky,F,28,1,PP2,CHI,dailyfaceoff
Teuvo Teravainen,F,86,2,PP1,CHI,dailyfaceoff
Frank Nazar,F,91,2,PP1,CHI,dailyfaceoff
Tyler Bertuzzi,F,59,2,PP1,CHI,dailyfaceoff
Landon Slaggert,F,84,3,,CHI,dailyfaceoff
Jason Dickinson,F,16,3,,CHI,dailyfaceoff
Ilya Mikheyev,F,95,3,,CHI,dailyfaceoff
Colton Dach,F,34,4,PP2,CHI,dailyfaceoff
Nick Foligno,F,17,4,PP2,CHI,dailyfaceoff
Sam Lafferty,F,24,4,,CHI,dailyfaceoff
Alex Vlasic,D,72,1,,CHI,dailyfaceoff
Sam Rinzel,D,6,1,PP1,CHI,dailyfaceoff
Wyatt Kaiser,D,44,2,,CHI,dailyfaceoff
