player_name,position,jersey_number,line,team,source,pp_unit
Kreider,F,20.0,1,ANA,puckpedia,PP1
Gauthier,F,61.0,2,ANA,puckpedia,
Vatrano,F,77.0,3,ANA,puckpedia,PP2
Nesterenko,F,13.0,4,ANA,puckpedia,
Carlsson,F,91.0,1,ANA,puckpedia,PP1
McTavish,F,23.0,2,ANA,puckpedia,PP2
Strome,F,16.0,3,ANA,puckpedia,PP2
Poehling,F,25.0,4,ANA,puckpedia,
Terry,F,19.0,1,ANA,puckpedia,PP1
Granlund,F,64.0,2,ANA,puckpedia,PP1
Killorn,F,17.0,3,ANA,puckpedia,PP2
Colangelo,F,12.0,4,ANA,puckpedia,
LaCombe,D,2.0,1,ANA,puckpedia,PP1
Zellweger,D,51.0,2,ANA,puckpedia,PP2
Mintyukov,D,98.0,3,ANA,puckpedia,
Gudas,D,7.0,1,ANA,puckpedia,
Trouba,D,65.0,2,ANA,puckpedia,
Helleson,D,14.0,3,ANA,puckpedia,
Geekie,F,39.0,1,BOS,puckpedia,PP2
Zacha,F,18.0,2,BOS,puckpedia,"PP1, PP2"
Jeannot,F,84.0,3,BOS,puckpedia,
Eyssimont,F,81.0,4,BOS,puckpedia,
Lindholm,F,28.0,1,BOS,puckpedia,"PP1, PP2"
Mittelstadt,F,11.0,2,BOS,puckpedia,PP1
Minten,F,93.0,3,BOS,puckpedia,
Kuraly,F,52.0,4,BOS,puckpedia,
Pastrnak,F,88.0,1,BOS,puckpedia,PP1
Arvidsson,F,71.0,2,BOS,puckpedia,PP2
Khusnutdinov,F,92.0,3,BOS,puckpedia,
Kastelic,F,47.0,4,BOS,puckpedia,
Lohrei,D,6.0,1,BOS,puckpedia,PP2
Zadorov,D,91.0,2,BOS,puckpedia,
Lindholm,D,27.0,3,BOS,puckpedia,"PP1, PP2"
McAvoy,D,73.0,1,BOS,puckpedia,PP1
Jokiharju,D,20.0,2,BOS,puckpedia,
Peeke,D,26.0,3,BOS,puckpedia,
Benson,F,6.0,1,BUF,puckpedia,PP2
Zucker,F,17.0,2,BUF,puckpedia,PP1
Quinn,F,22.0,3,BUF,puckpedia,PP1
Malenstyn,F,29.0,4,BUF,puckpedia,
Norris,F,9.0,1,BUF,puckpedia,PP1
McLeod,F,71.0,2,BUF,puckpedia,
Kulich,F,20.0,3,BUF,puckpedia,PP2
Krebs,F,19.0,4,BUF,puckpedia,
Thompson,F,72.0,1,BUF,puckpedia,PP1
Tuch,F,89.0,2,BUF,puckpedia,PP2
Doan,F,91.0,3,BUF,puckpedia,
Danforth,F,15.0,4,BUF,puckpedia,
Byram,D,4.0,1,BUF,puckpedia,PP2
Power,D,25.0,2,BUF,puckpedia,PP2
Bryson,D,78.0,3,BUF,puckpedia,
Dahlin,D,26.0,1,BUF,puckpedia,PP1
Komarov,D,76.0,2,BUF,puckpedia,
Timmins,D,21.0,3,BUF,puckpedia,
Farabee,F,86.0,1,CGY,puckpedia,
Huberdeau,F,10.0,2,CGY,puckpedia,PP1
Zary,F,47.0,3,CGY,puckpedia,PP2
Lomberg,F,70.0,4,CGY,puckpedia,
Kadri,F,91.0,1,CGY,puckpedia,PP1
Frost,F,16.0,2,CGY,puckpedia,PP1
Backlund,F,11.0,3,CGY,puckpedia,PP2
Pospisil,F,76.0,4,CGY,puckpedia,
Klapka,F,43.0,1,CGY,puckpedia,
Coronato,F,27.0,2,CGY,puckpedia,PP1
Coleman,F,20.0,3,CGY,puckpedia,PP2
Sharangovich,F,17.0,4,CGY,puckpedia,PP2
Bahl,D,7.0,1,CGY,puckpedia,
Hanley,D,44.0,2,CGY,puckpedia,
Parekh,D,89.0,3,CGY,puckpedia,
Andersson,D,4.0,1,CGY,puckpedia,PP2
Weegar,D,52.0,2,CGY,puckpedia,PP1
Pachal,D,94.0,3,CGY,puckpedia,
Ehlers,F,27.0,1,CAR,puckpedia,PP1
Svechnikov,F,37.0,2,CAR,puckpedia,PP1
Martinook,F,48.0,3,CAR,puckpedia,
Hall,F,71.0,4,CAR,puckpedia,PP2
Aho,F,20.0,1,CAR,puckpedia,PP1
Stankoven,F,22.0,2,CAR,puckpedia,PP2
Staal,F,11.0,3,CAR,puckpedia,
Kotkaniemi,F,82.0,4,CAR,puckpedia,
Jarvis,F,24.0,1,CAR,puckpedia,PP1
Blake,F,53.0,2,CAR,puckpedia,PP2
Carrier,F,28.0,3,CAR,puckpedia,
Robinson,F,50.0,4,CAR,puckpedia,
Slavin,D,74.0,1,CAR,puckpedia,
Miller,D,19.0,2,CAR,puckpedia,PP2
Nikishin,D,21.0,3,CAR,puckpedia,PP2
Walker,D,26.0,1,CAR,puckpedia,
Chatfield,D,5.0,2,CAR,puckpedia,
Gostisbehere,D,4.0,3,CAR,puckpedia,PP1
Donato,F,8.0,1,CHI,puckpedia,PP2
Teravainen,F,86.0,2,CHI,puckpedia,PP1
Slaggert,F,84.0,3,CHI,puckpedia,
Dach,F,34.0,4,CHI,puckpedia,PP2
Bedard,F,98.0,1,CHI,puckpedia,PP1
Nazar,F,91.0,2,CHI,puckpedia,PP1
Dickinson,F,16.0,3,CHI,puckpedia,
Foligno,F,17.0,4,CHI,puckpedia,PP2
Burakovsky,F,28.0,1,CHI,puckpedia,PP2
Bertuzzi,F,59.0,2,CHI,puckpedia,PP1
Mikheyev,F,95.0,3,CHI,puckpedia,
Lafferty,F,24.0,4,CHI,puckpedia,
Vlasic,D,72.0,1,CHI,puckpedia,
Kaiser,D,44.0,2,CHI,puckpedia,
Allan,D,42.0,3,CHI,puckpedia,
Rinzel,D,6.0,1,CHI,puckpedia,PP1
Levshunov,D,55.0,2,CHI,puckpedia,PP2
Murphy,D,5.0,3,CHI,puckpedia,
Nichushkin,F,13.0,1,COL,puckpedia,PP1
Landeskog,F,92.0,2,COL,puckpedia,PP2
Colton,F,20.0,3,COL,puckpedia,PP2
Kelly,F,17.0,4,COL,puckpedia,
MacKinnon,F,29.0,1,COL,puckpedia,PP1
Nelson,F,11.0,2,COL,puckpedia,PP2
Drury,F,18.0,3,COL,puckpedia,
Bardakov,F,93.0,4,COL,puckpedia,
Necas,F,88.0,1,COL,puckpedia,PP1
Lehkonen,F,62.0,2,COL,puckpedia,PP2
Olofsson,F,95.0,3,COL,puckpedia,PP1
Kiviranta,F,94.0,4,COL,puckpedia,
Toews,D,7.0,1,COL,puckpedia,
Girard,D,49.0,2,COL,puckpedia,
Malinski,D,70.0,3,COL,puckpedia,
Makar,D,8.0,1,COL,puckpedia,PP1
Manson,D,42.0,2,COL,puckpedia,
Burns,D,84.0,3,COL,puckpedia,PP2
Voronkov,F,10.0,1,CBJ,puckpedia,PP2
Sillinger,F,4.0,2,CBJ,puckpedia,
Johnson,F,91.0,3,CBJ,puckpedia,PP1
Chinakhov,F,59.0,4,CBJ,puckpedia,
Monahan,F,23.0,1,CBJ,puckpedia,PP1
Jenner,F,38.0,2,CBJ,puckpedia,PP1
Coyle,F,3.0,3,CBJ,puckpedia,PP2
Lundestrom,F,21.0,4,CBJ,puckpedia,
Marchenko,F,86.0,1,CBJ,puckpedia,PP1
Fantilli,F,19.0,2,CBJ,puckpedia,PP2
Olivier,F,24.0,3,CBJ,puckpedia,
Wood,F,11.0,4,CBJ,puckpedia,
Werenski,D,8.0,1,CBJ,puckpedia,PP1
Provorov,D,9.0,2,CBJ,puckpedia,PP2
Mateychuk,D,5.0,3,CBJ,puckpedia,
Fabbro,D,15.0,1,CBJ,puckpedia,
Severson,D,78.0,2,CBJ,puckpedia,PP2
Gudbranson,D,44.0,3,CBJ,puckpedia,
Robertson,F,21.0,1,DAL,puckpedia,PP1
Steel,F,18.0,2,DAL,puckpedia,
Johnston,F,53.0,3,DAL,puckpedia,PP1
Back,F,10.0,4,DAL,puckpedia,
Hintz,F,24.0,1,DAL,puckpedia,PP1
Duchene,F,95.0,2,DAL,puckpedia,PP2
Faksa,F,12.0,3,DAL,puckpedia,
Hryckowian,F,49.0,4,DAL,puckpedia,
Rantanen,F,96.0,1,DAL,puckpedia,PP1
Seguin,F,91.0,2,DAL,puckpedia,PP2
Bourque,F,22.0,3,DAL,puckpedia,PP2
Bastian,F,11.0,4,DAL,puckpedia,
Lindell,D,23.0,1,DAL,puckpedia,PP2
Harley,D,55.0,2,DAL,puckpedia,PP1
Bichsel,D,6.0,3,DAL,puckpedia,
Heiskanen,D,4.0,1,DAL,puckpedia,PP2
Lundkvist,D,5.0,2,DAL,puckpedia,
Lyubushkin,D,46.0,3,DAL,puckpedia,
Copp,F,18.0,1,DET,puckpedia,
Debrincat,F,93.0,2,DET,puckpedia,PP1
Soderblom,F,85.0,3,DET,puckpedia,
van Riemsdyk,F,21.0,4,DET,puckpedia,PP2
Larkin,F,71.0,1,DET,puckpedia,PP1
Kasper,F,92.0,2,DET,puckpedia,PP2
Compher,F,37.0,3,DET,puckpedia,PP2
Rasmussen,F,27.0,4,DET,puckpedia,
Raymond,F,23.0,1,DET,puckpedia,PP1
Kane,F,88.0,2,DET,puckpedia,PP1
Appleton,F,22.0,3,DET,puckpedia,
Berggren,F,48.0,4,DET,puckpedia,PP2
Chiarot,D,8.0,1,DET,puckpedia,
Edvinsson,D,77.0,2,DET,puckpedia,
Gustafsson,D,56.0,3,DET,puckpedia,PP2
Seider,D,53.0,1,DET,puckpedia,PP1
Johansson,D,20.0,2,DET,puckpedia,
Bernard-Docker,D,25.0,3,DET,puckpedia,
Draisaitl,F,29.0,1,EDM,puckpedia,PP1
