player_name,position,jersey_number,line,team,source,pp_unit
Kreider,F,20,1,ANA,puckpedia,PP1
Gauthier,F,61,2,ANA,puckpedia,
Vatrano,F,77,3,ANA,puckpedia,PP2
Nesterenko,F,13,4,ANA,puckpedia,
Carlsson,F,91,1,ANA,puckpedia,PP1
McTavish,F,23,2,ANA,puckpedia,PP2
Strome,F,16,3,ANA,puckpedia,PP2
Poehling,F,25,4,ANA,puckpedia,
Terry,F,19,1,ANA,puckpedia,PP1
Granlund,F,64,2,ANA,puckpedia,PP1
Killorn,F,17,3,ANA,puckpedia,PP2
Colangelo,F,12,4,ANA,puckpedia,
LaCombe,D,2,1,ANA,puckpedia,PP1
Zellweger,D,51,2,ANA,puckpedia,PP2
Mintyukov,D,98,3,ANA,puckpedia,
Gudas,D,7,1,ANA,puckpedia,
Trouba,D,65,2,ANA,puckpedia,
Helleson,D,14,3,ANA,puckpedia,
Geekie,F,39,1,BOS,puckpedia,PP2
Zacha,F,18,2,BOS,puckpedia,"PP1, PP2"
Jeannot,F,84,3,BOS,puckpedia,
Khusnutdinov,F,92,4,BOS,puckpedia,
Lindholm,F,28,1,BOS,puckpedia,"PP1, PP2"
Mittelstadt,F,11,2,BOS,puckpedia,PP1
Minten,F,93,3,BOS,puckpedia,
Kuraly,F,52,4,BOS,puckpedia,
Pastrnak,F,88,1,BOS,puckpedia,PP1
Arvidsson,F,71,2,BOS,puckpedia,PP2
Eyssimont,F,81,3,BOS,puckpedia,
Kastelic,F,47,4,BOS,puckpedia,
Lohrei,D,6,1,BOS,puckpedia,PP2
Zadorov,D,91,2,BOS,puckpedia,
Lindholm,D,27,3,BOS,puckpedia,"PP1, PP2"
McAvoy,D,73,1,BOS,puckpedia,PP1
Jokiharju,D,20,2,BOS,puckpedia,
Peeke,D,26,3,BOS,puckpedia,
Benson,F,6,1,BUF,puckpedia,PP2
Zucker,F,17,2,BUF,puckpedia,PP1
Quinn,F,22,3,BUF,puckpedia,PP1
Malenstyn,F,29,4,BUF,puckpedia,
Norris,F,9,1,BUF,puckpedia,PP1
McLeod,F,71,2,BUF,puckpedia,
Kulich,F,20,3,BUF,puckpedia,PP2
Krebs,F,19,4,BUF,puckpedia,
Thompson,F,72,1,BUF,puckpedia,PP1
Tuch,F,89,2,BUF,puckpedia,PP2
Doan,F,91,3,BUF,puckpedia,
Danforth,F,15,4,BUF,puckpedia,
Byram,D,4,1,BUF,puckpedia,PP2
Power,D,25,2,BUF,puckpedia,PP2
Bryson,D,78,3,BUF,puckpedia,
Dahlin,D,26,1,BUF,puckpedia,PP1
Timmins,D,21,2,BUF,puckpedia,
Johnson,D,33,3,BUF,puckpedia,
Farabee,F,86,1,CGY,puckpedia,
Huberdeau,F,10,2,CGY,puckpedia,PP1
Zary,F,47,3,CGY,puckpedia,PP2
