"player_name","team","position","age","cap_hit","points_current","goals_current","assists_current","proj_goals_remaining","proj_assists_remaining","proj_pts_remaining","proj_goals_total","proj_assists_total","proj_pts_total","proj_pts_preseason","proj_vs_preseason_pts","pct_of_preseason","gp_remaining","sh_pct_observed","sh_pct_posterior"
"Cutter Gauthier","ANA","LW",22,950000,16,10,6,39.4,28.5,67.9,49.4,34.5,83.9,47.3549375139974,36.6,177.2,70,17.2,11.7
"Mark Scheifele","WPG","C",32,8500000,20,9,11,36.5,27.1,63.5,45.5,38.1,83.5,70.2560855714695,13.3,118.9,69,26.5,20.2
"Nathan MacKinnon","COL","C",30,12600000,20,10,10,36.1,27.1,63.2,46.1,37.1,83.2,113.785105761766,-30.6,73.1,68,16.4,12.2
"Kirill Kaprizov","MIN","LW",28,9e+06,18,8,10,37.3,26.3,63.6,45.3,36.3,81.6,89.3172630798419,-7.7,91.4,68,17,16.3
"Jack Eichel","VEG","C",29,1e+07,19,8,11,34.7,27.6,62.4,42.7,38.6,81.4,78.5245420196196,2.8,103.6,68,16,12.3
"Kyle Connor","WPG","LW",29,7142857,17,8,9,37,27.4,64.4,45,36.4,81.4,80.4178810442004,1,101.3,69,16.3,14.2
"Leon Draisaitl","EDM","C",30,1.4e+07,17,10,7,37.6,25.5,63.1,47.6,32.5,80.1,94.387046028746,-14.2,84.9,67,25,21
"Connor McDavid","EDM","C",29,12500000,21,4,17,28.8,25.7,54.6,32.8,42.7,75.6,110.941521690596,-35.4,68.1,67,8.9,14.3
"David Pastrňák","BOS","RW",29,11250000,18,7,11,31.1,26,57.1,38.1,37,75.1,94.8529729063482,-19.8,79.1,67,13.7,13.6
"Macklin Celebrini","SJS","F",19,975000,21,8,13,23.1,27.8,50.9,31.1,40.8,71.9,60.3906222230542,11.6,119.1,68,20,11.9
"John Tavares","TOR","C",35,4389280,18,7,11,26,27.7,53.7,33,38.7,71.7,68.8867245241256,2.8,104.1,68,18.4,14.1
"Jack Hughes","NJD","C",24,8e+06,16,10,6,29.9,25.8,55.7,39.9,31.8,71.7,84.5327984515725,-12.9,84.8,69,22.7,12.8
"Cole Caufield","MTL","RW",25,7850000,16,10,6,26.4,28.9,55.3,36.4,34.9,71.3,68.0621776464121,3.2,104.8,69,28.6,14.2
"Connor Bedard","CHI","C",20,950000,18,7,11,26.1,26.7,52.8,33.1,37.7,70.8,66.980524024132,3.8,105.7,68,15.2,11.7
"Leo Carlsson","ANA","C",21,950000,18,5,13,24,28.8,52.8,29,41.8,70.8,45.3054628239454,25.5,156.3,70,17.9,14.7
"William Nylander","TOR","C",29,11500000,20,6,14,19,29.6,48.6,25,43.6,68.6,79.6307181416085,-11.1,86.1,68,30,15.3
"Pavel Dorofeyev","VEG","LW",25,1835000,10,9,1,30.7,25.8,56.6,39.7,26.8,66.6,45.7760267175201,20.8,145.4,68,25.7,15.5
"Sidney Crosby","PIT","C",38,8700000,17,9,8,21.8,26.5,48.3,30.8,34.5,65.3,82.5284514584947,-17.2,79.2,68,31,15.5
"Martin Nečas","COL","C",27,6500000,18,9,9,20,26.8,46.8,29,35.8,64.8,66.184632225769,-1.4,98,68,29,13.3
"Nikita Kucherov","TBL","RW",32,9500000,11,5,6,26.9,25.6,52.4,31.9,31.6,63.4,109.401332114161,-46,58,69,15.6,13.4
"Ivan Demidov","MTL","RW",20,940833,12,4,8,18.4,31.5,49.9,22.4,39.5,61.9,61.9757970257993,-0.1,99.9,69,23.5,20.4
"Logan Cooley","UTA","C",21,950000,12,8,4,21.2,26.8,48.1,29.2,30.8,60.1,53.9577826209183,6.1,111.3,68,28.6,15.6
