"player_name","team","position","cap_hit","proj_goals_remaining","proj_assists_remaining","pool_pts_remaining","proj_goals_total","proj_assists_total","pool_pts_total"
"Cutter Gauthier","ANA","LW",950000,39.4,28.5,107.3,49.4,34.5,133.3
"Kyle Connor","WPG","LW",7142857,37,27.4,101.4,45,36.4,126.4
"Kirill Kaprizov","MIN","LW",9e+06,37.3,26.3,100.9,45.3,36.3,126.9
"Leon Draisaitl","EDM","C",1.4e+07,37.6,25.5,100.7,47.6,32.5,127.7
"Mark Scheifele","WPG","C",8500000,36.5,27.1,100.1,45.5,38.1,129.1
"Nathan MacKinnon","COL","C",12600000,36.1,27.1,99.3,46.1,37.1,129.3
"Jack Eichel","VEG","C",1e+07,34.7,27.6,97,42.7,38.6,124
"David Pastrňák","BOS","RW",11250000,31.1,26,88.2,38.1,37,113.2
"Pavel Dorofeyev","VEG","LW",1835000,30.7,25.8,87.2,39.7,26.8,106.2
"Jack Hughes","NJD","C",8e+06,29.9,25.8,85.6,39.9,31.8,111.6
"Connor McDavid","EDM","C",12500000,28.8,25.7,83.3,32.8,42.7,108.3
"Cole Caufield","MTL","RW",7850000,26.4,28.9,81.7,36.4,34.9,107.7
"John Tavares","TOR","C",4389280,26,27.7,79.7,33,38.7,104.7
"Nikita Kucherov","TBL","RW",9500000,26.9,25.6,79.4,31.9,31.6,95.4
"Connor Bedard","CHI","C",950000,26.1,26.7,78.9,33.1,37.7,103.9
"Leo Carlsson","ANA","C",950000,24,28.8,76.8,29,41.8,99.8
"Macklin Celebrini","SJS","F",975000,23.1,27.8,74,31.1,40.8,103
"Sidney Crosby","PIT","C",8700000,21.8,26.5,70.1,30.8,34.5,96.1
"Logan Cooley","UTA","C",950000,21.2,26.8,69.2,29.2,30.8,89.2
"Ivan Demidov","MTL","RW",940833,18.4,31.5,68.3,22.4,39.5,84.3
"William Nylander","TOR","C",11500000,19,29.6,67.6,25,43.6,93.6
"Martin Nečas","COL","C",6500000,20,26.8,66.8,29,35.8,93.8
