player_id,player_name,season,age,team,position,gp,g,a,pts,plus_minus,pim,sog,sh_pct,toi,atoi,pace_82,cf_pct,cf_rel,ff_pct,ff_rel,oish_pct,oisv_pct,pdo,ozs_pct,dzs_pct
demidiv01,Ivan Demidov,2025-26,20,MTL,RW,13.0,4.0,8.0,12.0,4.0,8.0,,,,,75.7,53.1,7.2,54.7,7.9,23.5,88.9,112.3,64.8,35.2
bedarco01,Connor Bedard,2025-26,20,CHI,C,14.0,7.0,11.0,18.0,7.0,14.0,,,,,105.4,51.0,7.3,50.4,7.5,15.9,92.8,108.7,68.1,31.9
coolelo01,Logan Cooley,2025-26,21,UTA,C,14.0,8.0,4.0,12.0,1.0,6.0,,,,,70.3,58.5,9.1,58.4,6.4,15.0,86.0,101.0,75.0,25.0
carlsle01,Leo Carlsson,2025-26,21,ANA,C,12.0,5.0,13.0,18.0,7.0,17.0,,,,,123.0,61.2,13.7,59.6,13.1,16.6,86.0,102.6,57.6,42.4
gauthcu01,Cutter Gauthier,2025-26,22,ANA,LW,12.0,10.0,6.0,16.0,9.0,10.0,,,,,109.3,62.1,14.5,58.8,11.2,15.9,91.8,107.7,63.4,36.6
celebma01,Macklin Celebrini,2025-26,19,SJS,F,14.0,8.0,13.0,21.0,4.0,8.0,,,,,123.0,51.7,12.6,50.0,12.6,17.9,91.1,109.0,65.9,34.1
dorofpa01,Pavel Dorofeyev,2025-26,25,VEG,LW,12.0,9.0,1.0,10.0,2.0,6.0,,,,,68.3,65.3,20.4,64.6,18.1,12.1,94.4,106.5,75.1,24.9
tavarjo01,John Tavares,2025-26,35,TOR,C,14.0,7.0,11.0,18.0,3.0,2.0,,,,,105.4,60.1,17.2,61.3,17.2,16.3,83.3,99.6,63.6,36.4
kapriki01,Kirill Kaprizov,2025-26,28,MIN,LW,14.0,8.0,10.0,18.0,-5.0,2.0,,,,,105.4,61.4,16.2,60.6,15.6,13.6,86.3,99.8,71.7,28.3
kucheni01,Nikita Kucherov,2025-26,32,TBL,RW,11.0,5.0,6.0,11.0,-4.0,2.0,,,,,82.0,61.2,16.8,60.9,15.4,11.6,83.7,95.3,71.3,28.8
mcdavco01,Connor McDavid,2025-26,29,EDM,C,15.0,4.0,17.0,21.0,-3.0,4.0,,,,,114.8,59.8,14.9,60.0,14.2,13.5,87.1,100.6,67.6,32.4
mackina01,Nathan MacKinnon,2025-26,30,COL,C,14.0,10.0,10.0,20.0,9.0,8.0,,,,,117.1,64.5,13.5,64.6,13.0,14.4,90.2,104.6,71.2,28.8
scheima01,Mark Scheifele,2025-26,32,WPG,C,13.0,9.0,11.0,20.0,7.0,4.0,,,,,126.2,54.7,14.9,55.2,14.3,15.3,89.7,105.0,61.3,38.7
eicheja01,Jack Eichel,2025-26,29,VEG,C,12.0,8.0,11.0,19.0,6.0,0.0,,,,,129.8,54.4,5.6,55.6,6.5,17.1,90.5,107.6,56.7,43.3
necasma01,Martin Nečas,2025-26,27,COL,C,14.0,9.0,9.0,18.0,8.0,8.0,,,,,105.4,62.8,10.7,63.3,10.7,14.3,89.7,104.0,69.4,30.6
draisle01,Leon Draisaitl,2025-26,30,EDM,C,15.0,10.0,7.0,17.0,4.0,4.0,,,,,92.9,58.1,12.1,59.9,14.4,13.4,90.4,103.8,63.1,36.9
nylanwi01,William Nylander,2025-26,29,TOR,C,11.0,6.0,14.0,20.0,8.0,4.0,,,,,149.1,57.1,13.9,57.8,13.6,20.2,87.6,107.8,63.2,36.8
caufico01,Cole Caufield,2025-26,25,MTL,RW,13.0,10.0,6.0,16.0,7.0,6.0,,,,,100.9,60.6,18.7,63.8,21.7,17.6,91.3,108.9,69.3,30.7
hugheja03,Jack Hughes,2025-26,24,NJD,C,13.0,10.0,6.0,16.0,0.0,0.0,,,,,100.9,58.4,14.9,59.8,15.4,12.4,87.2,99.6,70.8,29.2
crosbsi01,Sidney Crosby,2025-26,38,PIT,C,14.0,9.0,8.0,17.0,2.0,22.0,,,,,99.6,52.4,8.8,52.1,7.9,15.4,90.8,106.2,66.2,33.8
connoky01,Kyle Connor,2025-26,29,WPG,LW,13.0,8.0,9.0,17.0,9.0,4.0,,,,,107.2,52.0,10.7,52.7,10.3,16.4,91.2,107.5,65.9,34.1
pastrda01,David Pastrňák,2025-26,29,BOS,RW,15.0,7.0,11.0,18.0,-6.0,12.0,,,,,98.4,54.5,11.1,54.2,10.5,14.8,85.8,100.6,69.3,30.7
