player_name,hockey_ref_id
Ivan Demidov,demidiv01
Connor Bedard,bedarco01
Logan Cooley,coolelo01
Leo Carlsson,carlsle01
Cutter Gauthier,gauthcu01
Macklin Celebrini,celebma01
Pavel Dorofeyev,dorofpa01
John Tavares,tavarjo01
Kirill Kaprizov,kapriki01
Nikita Kucherov,kucheni01
Connor McDavid,mcdavco01
Nathan MacKinnon,mackina01
Mark Scheifele,scheima01
Jack Eichel,eicheja01
Martin Necas,necasma01
Leon Draisaitl,draisle01
William Nylander,nylanwi01
Cole Caufield,caufico01
Jack Hughes,hugheja03
Sidney Crosby,crosbsi01
Kyle Connor,connoky01
David Pastrnak,pastrda01
