player_name,player_id,nhl_player_id,team,position,gp,g,a,pts,pace_82,proj_pts,proj_g,proj_a,pace_vs_proj,pct_of_proj,cf_pct,cf_rel,ff_pct,ff_rel,oish_pct,oisv_pct,pdo,ozs_pct,cap_hit,season,age,plus_minus,pim,sog,sh_pct,toi,atoi,dzs_pct,proj_position,proj_team,proj_age,wpm_g,wpm_a,evtoi_per_gp,pptoi_per_gp,pts_vs_proj
Ivan Demidov,demidiv01,8484984.0,MTL,RW,13.0,4.0,8.0,12.0,75.7,61.975797025799345,27.023936891451278,34.95186013434807,13.724202974200658,122.1,53.1,7.2,54.7,7.9,23.5,88.9,112.3,64.8,940833.0,2025-26,20,4.0,8.0,,,,,35.2,R,MTL,19.0,13.24409120940743,17.455322830531998,779.5781250000001,133.79999999999998,2.1745687642025437
Connor Bedard,bedarco01,8484144.0,CHI,C,14.0,7.0,11.0,18.0,105.4,66.980524024132,26.180278856286318,40.800245167845674,38.41947597586801,157.4,51.0,7.3,50.4,7.5,15.9,92.8,108.7,68.1,950000.0,2025-26,20,7.0,14.0,,,,,31.9,C,CHI,19.0,24.03036439791299,44.70855206978365,921.6433076193596,148.77762647539222,6.564300776367709
Logan Cooley,coolelo01,8483431.0,UTA,C,14.0,8.0,4.0,12.0,70.3,53.95778262091828,22.806188609136658,31.15159401178162,16.342217379081717,130.3,58.5,9.1,58.4,6.4,15.0,86.0,101.0,75.0,950000.0,2025-26,21,1.0,6.0,,,,,25.0,C,UTA,20.0,24.360157398907198,35.79538085722681,829.1722592918557,122.62910798507744,2.787695650087123
Leo Carlsson,carlsle01,8484153.0,ANA,C,12.0,5.0,13.0,18.0,123.0,45.30546282394541,18.798224283277065,26.507238540668347,77.69453717605458,271.5,61.2,13.7,59.6,13.1,16.6,86.0,102.6,57.6,950000.0,2025-26,21,7.0,17.0,,,,,42.4,C,ANA,20.0,20.227377956712903,25.39437884763566,829.0537014699296,133.3479281248819,11.369932269666524
Cutter Gauthier,gauthcu01,8483445.0,ANA,LW,12.0,10.0,6.0,16.0,109.3,47.354937513997434,22.87586539334839,24.479072120649043,61.94506248600256,230.8,62.1,14.5,58.8,11.2,15.9,91.8,107.7,63.4,950000.0,2025-26,22,9.0,10.0,,,,,36.6,L,ANA,20.0,19.938634049805348,22.96264113427006,813.6436422461597,79.579785655606,9.07000914429306
Macklin Celebrini,celebma01,8484801.0,SJS,F,14.0,8.0,13.0,21.0,123.0,60.390622223054216,23.06100385410914,37.32961836894508,62.609377776945784,203.7,51.7,12.6,50.0,12.6,17.9,91.1,109.0,65.9,975000.0,2025-26,19,4.0,8.0,,,,,34.1,C,SJS,18.0,28.912077418065326,43.90926915393087,854.8667510015187,152.691375452899,10.689405961917572
Pavel Dorofeyev,dorofpa01,8481604.0,VEG,LW,12.0,9.0,1.0,10.0,68.3,45.77602671752009,25.550793302380615,20.225233415139474,22.523973282479908,149.2,65.3,20.4,64.6,18.1,12.1,94.4,106.5,75.1,1835000.0,2025-26,25,2.0,6.0,,,,,24.9,R,VGK,24.0,30.626582172089186,17.181653758825007,799.7881631479388,99.35076198425217,3.301069260850719
John Tavares,tavarjo01,8475166.0,TOR,C,14.0,7.0,11.0,18.0,105.4,68.88672452412557,32.929010328717055,35.95771419540851,36.51327547587444,153.0,60.1,17.2,61.3,17.2,16.3,83.3,99.6,63.6,4389280.0,2025-26,35,3.0,2.0,,,,,36.4,C,TOR,34.0,36.81532555368914,39.69444088323729,833.2013157894737,161.60246913580247,6.238851910515146
Kirill Kaprizov,kapriki01,8478864.0,MIN,LW,14.0,8.0,10.0,18.0,105.4,89.31726307984187,42.57364381160885,46.74361926823301,16.08273692015814,118.0,61.4,16.2,60.6,15.6,13.6,86.3,99.8,71.7,9000000.0,2025-26,28,-5.0,2.0,,,,,28.3,L,MIN,27.0,45.99426830469272,50.04234177764489,939.5033333333332,169.16259328358208,2.750711181490413
Nikita Kucherov,kucheni01,8476453.0,TBL,RW,11.0,5.0,6.0,11.0,82.0,109.40133211416092,36.78566862460222,72.6156634895587,-27.401332114160923,75.0,61.2,16.8,60.9,15.4,11.6,83.7,95.3,71.3,9500000.0,2025-26,32,-4.0,2.0,,,,,28.8,R,TBL,31.0,38.754965247803,91.0690975025167,950.0230769230768,175.18333333333334,-3.6757884543386616
Connor McDavid,mcdavco01,8478402.0,EDM,C,15.0,4.0,17.0,21.0,114.8,110.941521690596,36.723230864730084,74.21829082586592,3.858478309403992,103.5,59.8,14.9,60.0,14.2,13.5,87.1,100.6,67.6,12500000.0,2025-26,29,-3.0,4.0,,,,,32.4,C,EDM,27.0,39.58227090583689,94.34829630610008,983.3601351351351,169.26463414634145,0.7058192029397539
Nathan MacKinnon,mackina01,8477492.0,COL,C,14.0,10.0,10.0,20.0,117.1,113.78510576176565,39.432404390867035,74.35270137089861,3.314894238234345,102.9,64.5,13.5,64.6,13.0,14.4,90.2,104.6,71.2,12600000.0,2025-26,30,9.0,8.0,,,,,28.8,C,COL,29.0,41.441889457837796,86.1435823521702,986.6173913043477,182.1727272727273,0.5732746260400106
Mark Scheifele,scheima01,8476460.0,WPG,C,13.0,9.0,11.0,20.0,126.2,70.2560855714695,28.719029253112623,41.53705631835687,55.943914428530505,179.6,54.7,14.9,55.2,14.3,15.3,89.7,105.0,61.3,8500000.0,2025-26,32,7.0,4.0,,,,,38.7,C,WPG,31.0,36.51604570107478,44.62225927762365,970.4042253521127,161.60246913580247,8.861840092328006
Jack Eichel,eicheja01,8478403.0,VEG,C,12.0,8.0,11.0,19.0,129.8,78.52454201961962,29.476415856980694,49.048126162638916,51.275457980380395,165.3,54.4,5.6,55.6,6.5,17.1,90.5,107.6,56.7,10000000.0,2025-26,29,6.0,0.0,,,,,43.3,C,VGK,28.0,32.66085053604609,59.34452677246182,864.4145061728394,163.26,7.508603606884934
Martin Nečas,necasma01,8480039.0,COL,C,14.0,9.0,9.0,18.0,105.4,66.18463222576898,25.901367046036775,40.283265179732204,39.21536777423103,159.3,62.8,10.7,63.3,10.7,14.3,89.7,104.0,69.4,6500000.0,2025-26,27,8.0,8.0,,,,,30.6,C,COL,25.0,27.27298612713383,46.97634230589285,854.0731707317073,160.09634146341463,6.7001847419418805
Leon Draisaitl,draisle01,8477934.0,EDM,C,15.0,10.0,7.0,17.0,92.9,94.38704602874597,39.057244583877974,55.329801444868,-1.487046028745965,98.4,58.1,12.1,59.9,14.4,13.4,90.4,103.8,63.1,14000000.0,2025-26,30,4.0,4.0,,,,,36.9,C,EDM,29.0,52.27038769028713,66.34805261223795,970.4042253521126,168.03209876543212,-0.2659230540388968
William Nylander,nylanwi01,8477939.0,TOR,C,11.0,6.0,14.0,20.0,149.1,79.63071814160847,36.74281157995952,42.88790656164895,69.46928185839153,187.2,57.1,13.9,57.8,13.6,20.2,87.6,107.8,63.2,11500000.0,2025-26,29,8.0,4.0,,,,,36.8,R,TOR,28.0,42.5,46.3,879.060975609756,169.26463414634145,9.317830493198864
Cole Caufield,caufico01,8481540.0,MTL,RW,13.0,10.0,6.0,16.0,100.9,68.0621776464121,31.91171597342705,36.150461672985045,32.83782235358791,148.2,60.6,18.7,63.8,21.7,17.6,91.3,108.9,69.3,7850000.0,2025-26,25,7.0,6.0,,,,,30.7,R,MTL,23.0,34.3717622338751,32.41215172941324,864.8790123456789,172.66948778333824,5.209654763373692
Jack Hughes,hugheja03,8481559.0,NJD,C,13.0,10.0,6.0,16.0,100.9,84.53279845157249,35.26183073877603,49.27096771279646,16.367201548427516,119.4,58.4,14.9,59.8,15.4,12.4,87.2,99.6,70.8,8000000.0,2025-26,24,0.0,0.0,,,,,29.2,C,NJD,23.0,36.88232915403244,56.90716130217216,905.613725490196,153.4520987654321,2.5984587820677767
Sidney Crosby,crosbsi01,8471675.0,PIT,C,14.0,9.0,8.0,17.0,99.6,82.5284514584947,33.22334194304513,49.30510951544957,17.071548541505294,120.7,52.4,8.8,52.1,7.9,15.4,90.8,106.2,66.2,8700000.0,2025-26,38,2.0,22.0,,,,,33.8,C,PIT,37.0,36.13428190108089,57.286078502228634,913.62375,165.94864498644986,2.9097765802570024
Kyle Connor,connoky01,8478398.0,WPG,LW,13.0,8.0,9.0,17.0,107.2,80.41788104420039,34.873035846721315,45.54484519747907,26.782118955799618,133.3,52.0,10.7,52.7,10.3,16.4,91.2,107.5,65.9,7142857.0,2025-26,29,9.0,4.0,,,,,34.1,L,WPG,28.0,39.008760021351144,48.750104707385965,904.5587499999999,163.21851851851852,4.250823736895061
